Algorithm,Run,Score,Moves,Time
BFS,1,22,174,0.9800732135772705
BFS,2,20,165,0.923119306564331
BFS,3,26,210,1.1758387088775635
BFS,4,18,146,0.8327383995056152
BFS,5,11,69,0.3887190818786621
A*,1,22,172,0.9613680839538574
A*,2,27,190,1.058032512664795
A*,3,19,177,0.9851834774017334
A*,4,25,185,1.0327916145324707
A*,5,34,248,1.3918006420135498
BACKTRACKING,1,16,601,3.339602470397949
BACKTRACKING,2,14,564,3.146592855453491
BACKTRACKING,3,12,563,3.160372257232666
BACKTRACKING,4,20,649,3.6357951164245605
BACKTRACKING,5,11,494,2.7340829372406006
SA,1,5,485,2.7054049968719482
SA,2,7,640,3.5718021392822266
SA,3,4,1013,5.65320086479187
SA,4,7,820,4.553086280822754
SA,5,2,222,1.2371864318847656
