Algorithm,Run,Score,Moves,Time
BFS,1,1,5,0.026657581329345703
BFS,2,1,4,0.02217721939086914
BFS,3,9,145,0.8069171905517578
BFS,4,23,299,1.6598637104034424
BFS,5,27,385,2.150242567062378
BFS,6,10,83,0.4516580104827881
BFS,7,17,205,1.1382246017456055
BFS,8,17,238,1.3208277225494385
BFS,9,39,504,2.791247844696045
BFS,10,4,57,0.31381773948669434
A*,1,38,485,2.6771137714385986
A*,2,36,461,2.55198073387146
A*,3,41,561,3.1012258529663086
A*,4,28,330,1.853123426437378
A*,5,49,686,3.8136231899261475
A*,6,35,473,2.6323533058166504
A*,7,30,411,2.295346975326538
A*,8,32,384,2.1345207691192627
A*,9,38,507,2.810535192489624
A*,10,31,429,2.395859479904175
BACKTRACKING,1,22,1672,9.284745693206787
BACKTRACKING,2,5,645,3.5685596466064453
BACKTRACKING,3,27,3456,19.148539304733276
BACKTRACKING,4,26,2728,15.153143167495728
BACKTRACKING,5,34,3771,20.93536949157715
BACKTRACKING,6,5,728,4.0376973152160645
BACKTRACKING,7,21,2360,13.102008581161499
BACKTRACKING,8,32,3502,19.440233945846558
BACKTRACKING,9,22,2411,13.478625297546387
BACKTRACKING,10,15,1671,9.371225118637085
SA,1,3,895,4.927432298660278
SA,2,4,1114,6.197807788848877
SA,3,1,229,1.316943883895874
SA,4,2,474,2.6401822566986084
SA,5,3,1674,9.267647743225098
SA,6,3,2021,11.144609689712524
SA,7,2,1402,7.724220514297485
SA,8,1,784,4.325537204742432
SA,9,2,355,1.951467514038086
SA,10,2,709,3.9136455059051514
